Width,Drop,Cost,ID,prID
2710,700,48.05,1887089,2,
2710,800,51.95,1887112,2,
2710,900,55.85,1887135,2,
2710,1000,59.74,1887158,2,
2710,1100,63.64,1887181,2,
2710,1200,67.54,1887204,2,
2710,1300,71.43,1887227,2,
2710,1400,75.33,1887250,2,
2710,1500,79.23,1887273,2,
2710,1600,83.12,1887296,2,
2710,1700,87.02,1887319,2,
2710,1800,90.92,1887342,2,
2710,1900,94.81,1887365,2,
2710,2000,98.71,1887388,2,
2710,2100,102.61,1887411,2,
2710,2200,106.5,1887434,2,
2710,2300,110.41,1887457,2,
2710,2400,114.27,1887480,2,
2710,2500,118.2,1887503,2,
2710,2600,122.1,1887526,2,
2710,2700,125.99,1887549,2,
2710,2800,129.88,1887572,2,
2810,600,45.48,1887067,2,
2810,700,49.5,1887090,2,
2810,800,53.55,1887113,2,
2810,900,57.59,1887136,2,
2810,1000,61.61,1887159,2,
2810,1100,65.66,1887182,2,
2810,1200,69.7,1887205,2,
2810,1300,73.73,1887228,2,
2810,1400,77.77,1887251,2,
2810,1500,81.81,1887274,2,
2810,1600,85.84,1887297,2,
2810,1700,89.88,1887320,2,
2810,1800,93.93,1887343,2,
2810,1900,97.95,1887366,2,
2810,2000,101.99,1887389,2,
2810,2100,106.04,1887412,2,
2810,2200,110.06,1887435,2,
2810,2300,114.12,1887458,2,
2810,2400,118.11,1887481,2,
2810,2500,122.19,1887504,2,
2810,2600,126.23,1887527,2,
2810,2700,130.26,1887550,2,
2810,2800,134.29,1887573,2,
2910,600,46.8,2138841,2,
2910,700,50.95,2138842,2,
2910,800,55.15,2138843,2,
2910,900,59.33,2138844,2,
2910,1000,63.48,2138845,2,
2910,1100,67.68,2138846,2,
2910,1200,71.86,2138847,2,
2910,1300,76.03,2138848,2,
2910,1400,80.21,2138849,2,
2910,1500,84.39,2138850,2,
2910,1600,88.56,2138851,2,
2910,1700,92.74,2138852,2,
2910,1800,96.94,2138853,2,
2910,1900,101.09,2138854,2,
2910,2000,105.27,2138855,2,
2910,2100,109.47,2138856,2,
2910,2200,113.62,2138857,2,
3010,600,48.12,2231543,2,
3110,600,49.44,2231544,2,
